snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-07-13,Beacon Harbor Point,1,1405,2BR,2,2.0,1182,5695.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,953,2BR,2,2.0,1182,5345.0,,asking,,,,,
2026-07-13,Beacon Harbor Point,1,513,Studio,0,1.0,430,2395.0,,asking,,,,,
2026-08-14,Escape @ Harbor Point,1,1060,1BR,1,1.0,763,3695.0,,asking,,10/21/26,,,
2026-08-14,Escape @ Harbor Point,1,1104,1BR,1,1.0,902,3895.0,,asking,,10/7/26,,,
2026-08-14,Escape @ Harbor Point,1,1107,1BR,1,1.0,820,3415.0,,asking,,10/21/26,,,
2026-08-14,Escape @ Harbor Point,1,1155,1BR,1,1.0,817,3645.0,,asking,,8/24/26,,,
2026-08-14,Escape @ Harbor Point,1,1206,1BR,1,1.0,746,3745.0,,asking,,8/19/26,,,
2026-08-14,Escape @ Harbor Point,1,1304,1BR,1,1.0,902,3945.0,,asking,,9/18/26,,,
2026-08-14,Escape @ Harbor Point,1,1405,1BR,1,1.0,817,3745.0,,asking,,,,,
2026-08-14,Escape @ Harbor Point,1,1556,1BR,1,1.0,746,3945.0,,asking,,9/28/26,,,
2026-08-14,Escape @ Harbor Point,1,1658,1BR,1,1.0,817,3945.0,,asking,,10/6/26,,,
2026-08-14,Escape @ Harbor Point,1,1708,1BR,1,1.0,701,3695.0,,asking,,9/15/26,,,
2026-08-14,Escape @ Harbor Point,1,1805,1BR,1,1.0,817,3595.0,,asking,,11/19/26,,,
2026-08-14,Escape @ Harbor Point,1,1806,1BR,1,1.0,746,3865.0,,asking,,8/25/26,,,
2026-08-14,Escape @ Harbor Point,1,608,1BR,1,1.0,701,3635.0,,asking,,9/7/26,,,
2026-08-14,Escape @ Harbor Point,1,654,1BR,1,1.0,792,3895.0,,asking,,9/26/26,,,
2026-08-14,Escape @ Harbor Point,1,1002,2BR,2,2.0,1136,6095.0,,asking,,10/21/26,,,
2026-08-14,Escape @ Harbor Point,1,1212,2BR,2,2.0,1136,6145.0,,asking,,9/2/26,,,
2026-08-14,Escape @ Harbor Point,1,156,2BR,2,2.0,1457,5845.0,,asking,,10/7/26,,,
2026-08-14,Escape @ Harbor Point,1,1609,2BR,2,2.0,1347,6165.0,,asking,,,,,
2026-08-14,Escape @ Harbor Point,1,1759,2BR,2,2.0,1347,6345.0,,asking,,,,,
2026-08-14,Escape @ Harbor Point,1,1901,2BR,2,2.0,1300,5965.0,,asking,,9/8/26,,,
2026-08-14,Escape @ Harbor Point,1,1962,2BR,2,2.0,1136,6195.0,,asking,,10/9/26,,,
2026-08-14,Escape @ Harbor Point,1,440,2BR,2,2.0,1200,5395.0,,asking,,11/1/26,,,
2026-08-14,Escape @ Harbor Point,1,602,2BR,2,2.0,1136,5965.0,,asking,,8/25/26,,,
2026-08-14,Escape @ Harbor Point,1,702,2BR,2,2.0,1136,5985.0,,asking,,9/12/26,,,
2026-08-14,Escape @ Harbor Point,1,801,2BR,2,2.0,1300,5795.0,,asking,,10/1/26,,,
2026-08-14,Escape @ Harbor Point,1,902,2BR,2,2.0,1136,6045.0,,asking,,8/25/26,,,
2026-08-14,Harbor Landing,1,242,1BR,1,1.0,685,2591.0,,asking,,8/31/2026,,,
2026-08-14,Harbor Landing,1,252,1BR,1,1.0,685,2546.0,,asking,,9/27/2026,,,
2026-08-14,Harbor Landing,1,454,1BR,1,1.0,685,2596.0,,asking,,9/17/2026,,,
2026-08-14,Harbor Landing,1,G05,1BR,1,1.0,685,2616.0,,asking,,10/7/2026,,,
2026-08-14,Harbor Landing,1,G09,1BR,1,1.0,685,2507.0,,asking,,,,,
2026-08-14,Harbor Landing,1,202,2BR,2,2.0,1181,3763.0,,asking,,10/7/2026,,,
2026-08-14,Harbor Landing,1,315,2BR,2,2.0,1243,3505.0,,asking,,,,,
2026-08-14,Harbor Landing,1,331,2BR,2,2.0,1203,4003.0,,asking,,10/6/2026,,,
2026-08-14,Harbor Landing,1,348,2BR,2,2.0,1044,3449.0,,asking,,9/7/2026,,,
2026-08-14,Harbor Landing,1,421,2BR,2,2.0,899,3227.0,,asking,,8/20/2026,,,
2026-08-14,Infinity Harbor Point,1,A2-1,1BR,1,1.0,793,2675.0,,asking,,,,,
2026-08-14,Infinity Harbor Point,1,A2-2,1BR,1,1.0,793,2675.0,,asking,,,,,
2026-08-14,Infinity Harbor Point,1,A4-1,1BR,1,1.0,806,2800.0,,asking,,,,,
2026-08-14,Infinity Harbor Point,1,A4-2,1BR,1,1.0,806,2800.0,,asking,,,,,
2026-08-14,Infinity Harbor Point,1,A4-3,1BR,1,1.0,806,2800.0,,asking,,,,,
2026-08-14,Infinity Harbor Point,1,B9-1,2BR,2,2.0,1401,4975.0,,asking,,,,,
2026-08-14,Infinity Harbor Point,1,T2-1,2BR,2,2.0,1164,3400.0,,asking,,,,,
2026-08-14,NV @ Harbor Point,1,1004,1BR,1,1.0,759,2815.0,,asking,,10/8/26,,,
