snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months
2026-09-24,Opus @ Harbor Point,1,1305,1BR,1,1.0,817,3435.0,,asking,,,,,
2026-09-24,Opus @ Harbor Point,1,223,1BR,1,1.0,840,3485.0,,asking,,11/22/26,,,
2026-09-24,Opus @ Harbor Point,1,224,1BR,1,1.0,840,3315.0,,asking,,,,,
2026-09-24,Opus @ Harbor Point,1,321,1BR,1,1.0,791,3365.0,,asking,,10/9/26,,,
2026-09-24,Opus @ Harbor Point,1,404,1BR,1,1.0,902,3805.0,,asking,,10/8/26,,,
2026-09-24,Opus @ Harbor Point,1,502,2BR,2,2.0,1136,5845.0,,asking,,11/22/26,,,
2026-09-24,Opus @ Harbor Point,1,801,2BR,2,2.0,1300,6395.0,,asking,,11/16/26,,,
2026-09-24,Opus @ Harbor Point,1,901,2BR,2,2.0,1300,6115.0,,asking,,,,,
2026-08-17,Postmark,1,0455,1BR,1,1.0,838,2835.0,,asking,,10/23/2026,,,
2026-08-17,Postmark,1,0565,1BR,1,1.0,760,2831.0,,asking,,,,,
2026-08-17,Postmark,1,0666,1BR,1,1.0,838,3024.0,,asking,,,,,
2026-08-17,Postmark,1,0867,1BR,1,1.0,760,3026.0,,asking,,9/1/2026,,,
2026-08-17,Postmark,1,0965,1BR,1,1.0,760,2844.0,,asking,,,,,
2026-08-17,Postmark,1,0969,1BR,1,1.0,760,2835.0,,asking,,8/28/2026,,,
2026-08-17,Postmark,1,0975,1BR,1,1.0,754,2870.0,,asking,,9/11/2026,,,
2026-08-17,Postmark,1,0977,1BR,1,1.0,760,2879.0,,asking,,,,,
2026-08-17,Postmark,1,1110,1BR,1,1.0,760,2875.0,,asking,,10/6/2026,,,
2026-08-17,Postmark,1,0251,2BR,2,2.0,1052,4488.0,,asking,,10/7/2026,,,
2026-08-17,Postmark,1,0656,2BR,2,2.0,1045,4093.0,,asking,,9/7/2026,,,
2026-08-17,Postmark,1,0762,2BR,2,2.0,1049,4016.0,,asking,,,,,
2026-08-17,Postmark,1,0801,2BR,2,2.0,1188,4514.0,,asking,,10/7/2026,,,
2026-08-17,Postmark,1,1203,2BR,2,2.0,1173,4422.0,,asking,,10/12/2026,,,
2026-08-17,The Key at Yale & Towne,1,315,1BR,1,1.0,829,2647.0,,asking,,10/24/2026,,,
2026-08-17,The Key at Yale & Towne,1,412,1BR,1,1.0,677,2385.0,,asking,,9/10/2026,,,
