snapshot_date,building,in_market,unit,unit_type,beds,baths,sqft,asking_rent,net_effective_rent,price_basis,concession_text,available_date,data_flag,conc_months,lease_months,first_seen,last_seen,active
2026-06-13,505 Summit,1,4207,1BR,1,1.0,732,4111.0,3633.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-06-13,0
2026-06-11,505 Summit,1,4313,1BR,1,1.0,725,3926.0,3467.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-07,505 Summit,1,4313,1BR,1,1.0,725,3926.0,3467.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-07,0
2026-06-11,505 Summit,1,4404,1BR,1,1.0,717,3851.0,3400.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-02,505 Summit,1,4404,1BR,1,1.0,717,3851.0,3400.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-02,0
2026-06-11,505 Summit,1,4409,1BR,1,1.0,730,4151.0,3668.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-10,505 Summit,1,4409,1BR,1,1.0,730,4091.0,3615.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-10,0
2026-07-10,505 Summit,1,4504,1BR,1,1.0,717,3851.0,3400.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-07-08,2026-07-10,0
2026-06-11,505 Summit,1,4511,1BR,1,1.0,673,4081.0,3606.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-20,505 Summit,1,4511,1BR,1,1.0,673,4081.0,3522.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-20,1
2026-07-20,505 Summit,1,4608,1BR,1,1.0,608,4041.0,3487.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-07-08,2026-07-20,1
2026-06-11,505 Summit,1,4612,1BR,1,1.0,688,3926.0,3467.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-19,505 Summit,1,4612,1BR,1,1.0,688,3926.0,3386.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-19,0
2026-06-11,505 Summit,1,4701,1BR,1,1.0,600,4116.0,3637.0,both,GRAND OPENING: OFFERING UP TO 2.5 MONTHS FREE*,,,2.5,24,2026-06-08,2026-06-11,0
2026-07-20,505 Summit,1,4701,1BR,1,1.0,600,4116.0,3553.0,both,GRAND OPENING: OFFERING UP TO 3 MONTHS FREE*,,,2.5,24,2026-06-12,2026-07-20,1
